PMID,Abstract,pubdate,authors,sorttitle,pages,lang,nlmuniqueid,fulljournalname,elocationid,doctype,publisherlocation,publishername,srcdate,sortpubdate,sortfirstauthor,ReviewerA,ReviewerB
15505215,"New therapeutic targets for noncognitive reductions in energy intake, absorption, or storage are crucial given the worldwide epidemic of obesity. The gut microbial community (microbiota) is essential for processing dietary polysaccharides. We found that conventionalization of adult germ-free (GF) C57BL/6 mice with a normal microbiota harvested from the distal intestine (cecum) of conventionally raised animals produces a 60% increase in body fat content and insulin resistance within 14 days despite reduced food intake. Studies of GF and conventionalized mice revealed that the microbiota promotes absorption of monosaccharides from the gut lumen, with resulting induction of de novo hepatic lipogenesis. Fasting-induced adipocyte factor (Fiaf), a member of the angiopoietin-like family of proteins, is selectively suppressed in the intestinal epithelium of normal mice by conventionalization. Analysis of GF and conventionalized, normal and Fiaf knockout mice established that Fiaf is a circulating lipoprotein lipase inhibitor and that its suppression is essential for the microbiota-induced deposition of triglycerides in adipocytes. Studies of Rag1-/- animals indicate that these host responses do not require mature lymphocytes. Our findings suggest that the gut microbiota is an important environmental factor that affects energy harvest from the diet and energy storage in the host. Data deposition: The sequences reported in this paper have been deposited in the GenBank database (accession nos. AY 667702--AY 668946).",2004 Nov 2,"Bäckhed F, Ding H, Wang T, Hooper LV, Koh GY, Nagy A, Semenkovich CF, Gordon JI",gut microbiota as an environmental factor that regulates fat storage,15718-23,eng,7505876,Proceedings of the National Academy of Sciences of the United States of America,NA,citation,NA,NA,NA,2004/11/02 00:00,Bäckhed F,3,1
27913996,"Although several types of diet have been used in experimental steatohepatitis models, comparison of gut microbiota and immunological alterations in the gut among diets has not yet been performed.We attempted to clarify the difference in the gut environment between mice administrated several experimental diets.Male wild-type mice were fed a high-fat (HF) diet, a choline-deficient amino acid-defined (CDAA) diet, and a methionine-choline-deficient (MCD) diet for 8 weeks. We compared the severity of steatohepatitis, the composition of gut microbiota, and the intestinal expression of interleukin (IL)-17, an immune modulator.Steatohepatitis was most severe in the mice fed the CDAA diet, followed by the MCD diet, and the HF diet. Analysis of gut microbiota showed that the composition of the Firmicutes phylum differed markedly at order level between the mice fed the CDAA and HF diet. The CDAA diet increased the abundance of Clostridiales, while the HF diet increased that of lactate-producing bacteria. In addition, the CDAA diet decreased the abundance of lactate-producing bacteria and antiinflammatory bacterium Parabacteroides goldsteinii in the phylum Bacteroidetes. In CDAA-fed mice, IL-17 levels were increased in ileum as well as portal vein. In addition, the CDAA diet also elevated hepatic expression of chemokines, downstream targets of IL-17.The composition of gut microbiota and IL-17 expression varied considerably between mice administrated different experimental diets to induce steatohepatitis.",2017 Feb,"Ishioka M, Miura K, Minami S, Shimura Y, Ohnishi H",altered gut microbiota composition and immune response in experimental steatohepatitis mouse models,396-406,eng,7902782,Digestive diseases and sciences,doi: 10.1007/s10620-016-4393-x,citation,NA,NA,NA,2017/02/01 00:00,Ishioka M,3,4
27559357,"Transplanting a fecal sample from lean, healthy donors to obese recipients has been shown to improve metabolic syndrome symptoms. We therefore examined the gut microbiota in mice after administering a long-term, high-fat diet (HFD) supplemented with feces from lean mice through the fecal-oral route.C57BL6/W mice were allowed to adapt to a non-specific pathogen free (SFP) environment for 2 weeks before being divided into three groups of 16 animals. Animals were fed for 28 weeks with a normal diet (ND), HFD or HFD supplemented with feces from ND-fed mice (HFDS). The composition of colonizing bacteria was evaluated in droppings collected under SPF conditions at the beginning of the study and at 12 and 28 weeks using an 16S Metagenomics Kit on Ion PGM sequencer.HFD and HFDS-fed mice attained (p < 0.05) greater body weights by weeks 6 and 5, respectively. HFDS-fed mice gained more weight than HFD-fed mice by week 25. Both species diversity and richness indices increased with time in HFDS mice only.Prolonged HFD-fed mice supplementation with feces from lean mice altered bacteria species diversity and richness, accelerated the onset of obesity, and caused increased weight gain in the later weeks of the HFD regimen.",2016,"Kulecka M, Paziewska A, Zeber-Lubecka N, Ambrozkiewicz F, Kopczynski M, Kuklinska U, Pysniak K, Gajewska M, Mikula M, Ostrowski J",prolonged transfer of feces from the lean mice modulates gut microbiota in obese mice,57,eng,101231644,Nutrition &amp; metabolism,doi: 10.1186/s12986-016-0116-8,citation,NA,NA,NA,2016/08/23 00:00,Kulecka M,3,9
24030595,"The intestinal microbiota is known to regulate host energy homeostasis and can be influenced by high-calorie diets. However, changes affecting the ecosystem at the functional level are still not well characterized. We measured shifts in cecal bacterial communities in mice fed a carbohydrate or high-fat (HF) diet for 12 weeks at the level of the following: (i) diversity and taxa distribution by high-throughput 16S ribosomal RNA gene sequencing; (ii) bulk and single-cell chemical composition by Fourier-transform infrared- (FT-IR) and Raman micro-spectroscopy and (iii) metaproteome and metabolome via high-resolution mass spectrometry. High-fat diet caused shifts in the diversity of dominant gut bacteria and altered the proportion of Ruminococcaceae (decrease) and Rikenellaceae (increase). FT-IR spectroscopy revealed that the impact of the diet on cecal chemical fingerprints is greater than the impact of microbiota composition. Diet-driven changes in biochemical fingerprints of members of the Bacteroidales and Lachnospiraceae were also observed at the level of single cells, indicating that there were distinct differences in cellular composition of dominant phylotypes under different diets. Metaproteome and metabolome analyses based on the occurrence of 1760 bacterial proteins and 86 annotated metabolites revealed distinct HF diet-specific profiles. Alteration of hormonal and anti-microbial networks, bile acid and bilirubin metabolism and shifts towards amino acid and simple sugars metabolism were observed. We conclude that a HF diet markedly affects the gut bacterial ecosystem at the functional level.",2014 Feb,"Daniel H, Gholami AM, Berry D, Desmarchelier C, Hahne H, Loh G, Mondot S, Lepage P, Rothballer M, Walker A, Böhm C, Wenning M, Wagner M, Blaut M, Schmitt-Kopplin P, Kuster B, Haller D, Clavel T",high fat diet alters gut microbiota physiology in mice,295-308,eng,101301086,The ISME journal,doi: 10.1038/ismej.2013.155,citation,NA,NA,NA,2014/02/01 00:00,Daniel H,3,8
26749443,"Substantial evidence indicated that catch-up growth could increase the susceptibility to obesity, insulin resistance, and type 2 diabetes mellitus in adulthood. However, investigations into the ""programming"" effects of catch-up growth on gut microbiota in the offspring are limited. C57/BL6 mice were fed on either low protein (LP) or normal chow (NC) diet throughout gestation and lactation. Then, the offspring were randomly weaned to either NC or high fat (HF) diet until 32 weeks of age, generating four experimental groups: NC-NC, NC-HF, LP-NC, and LP-HF. Metabolic parameters and gut microbiota were examined in the offspring. It showed that the NC-HF and LP-HF offspring displayed higher body weight (P < 0.05), impaired glucose tolerance (P < 0.001), and elevated serum lipids (P < 0.05) at 32 weeks of age. Both the operational taxonomic units (OTUs) and the Shannon indexes (P < 0.05) showed significantly lower microbial diversity in NC-HF and LP-HF offspring. There were significant variations in the compositions of gut microbiota in the NC-HF and LP-HF offspring, compared with NC-NC offspring (P < 0.05). Furthermore, it indicated Lactobacillus percentage was negatively associated with blood glucose concentrations of intraperitoneal glucose tolerance test (r = -0.886, P = 0.019). In conclusion, catch-up growth predisposes the offspring to gut microbiota perturbation, obesity, impaired glucose tolerance, insulin resistance, and dyslipidemia. Our study is novel in showing the ""programming"" effects of nutrition-induced catch-up growth on gut microbiota and metabolic diseases in later life.© 2016 The Authors. MicrobiologyOpen published by John Wiley & Sons Ltd.",2016 Apr,"Zheng J, Xiao X, Zhang Q, Yu M, Xu J, Qi C, Wang T",programming effects of nutrition induced catch up growth on gut microbiota and metabolic diseases in adult mice,296-306,eng,101588314,MicrobiologyOpen,doi: 10.1002/mbo3.328,citation,NA,NA,NA,2016/04/01 00:00,Zheng J,3,2
27716401,"Nutritional interventions often fail to prevent growth failure in childhood and adolescent malnutrition and the mechanisms remain unclear. Recent studies revealed altered microbiota in malnourished children and anorexia nervosa. To facilitate mechanistic studies under physiologically relevant conditions, we established a mouse model of growth failure following chronic dietary restriction and examined microbiota in relation to age, diet, body weight, and anabolic treatment.Four-week-old female BALB/c mice (n = 12/group) were fed ad libitum (AL) or offered limited food to abolish weight gain (LF). A subset of restricted mice was treated with an insulin-like growth factor 1 (IGF1) analog. Food access was restored in a subset of untreated LF (LF-RF) and IGF1-treated LF mice (TLF-RF) on day 97. Gut microbiota were determined on days 69, 96-99 and 120 by next generation sequencing of the V3-5 region of the 16S rRNA gene. Microbiota-host factor associations were analyzed by distance-based PERMANOVA and quantified by the coefficient of determination R(2) for age, diet, and normalized body weight change (Δbwt). Microbial taxa on day 120 were compared following fitting with an overdispersed Poisson regression model. The machine learning algorithm Random Forests was used to predict age based on the microbiota.On day 120, Δbwt in AL, LF, LF-RF, and TLF-RF mice was 52 ± 3, -6 ± 1*, 40 ± 3*, and 46 ± 2 % (*, P < 0.05 versus AL). Age and diet, but not Δbwt, were associated with gut microbiota composition. Age explained a larger proportion of the microbiota variability than diet or Δbwt. Random Forests predicted chronological age based on the microbiota and indicated microbiota immaturity in the LF mice before, but not after, refeeding. However, on day 120, the microbiota community structure of LF-RF mice was significantly different from that of both AL and LF mice. IGF1 mitigated the difference from the AL group. Refed groups had a higher abundance of Bacteroidetes and Proteobacteria and a lower abundance of Firmicutes than AL mice.Persistent growth failure can be induced by 97-day dietary restriction in young female mice and is associated with microbiota changes seen in lean mice and individuals and anorexia nervosa. IGF1 facilitates recovery of body weights and microbiota.",2016 Oct 3,"Chen J, Toyomasu Y, Hayashi Y, Linden DR, Szurszewski JH, Nelson H, Farrugia G, Kashyap PC, Chia N, Ordog T",altered gut microbiota in female mice with persistent low body weights following removal of post weaning chronic dietary restriction,103,eng,101475844,Genome medicine,NA,citation,NA,NA,NA,2016/10/03 00:00,Chen J,3,6
27807042,"High-amylose-maize resistant starch type 2 (HAMRS2) is a fermentable dietary fiber known to alter the gut milieu, including the gut microbiota, which may explain the reported effects of resistant starch to ameliorate obesity-associated metabolic dysfunction.Our working hypothesis was that HAMRS2-induced microbiome changes alter gut-derived signals (i.e., xenometabolites) reaching the liver via the portal circulation, in turn altering liver metabolism by regulating gene expression and other pathways.We used a multi-omics systems biology approach to characterize HAMRS2-driven shifts to the cecal microbiome, liver metabolome, and transcriptome, identifying correlates between microbial changes and liver metabolites under obesogenic conditions that, to our knowledge, have not previously been recognized. Five-week-old male C57BL/6J mice were fed an energy-dense 45% lard-based-fat diet for 10 wk supplemented with either 20% HAMRS2 by weight (n = 14) or rapidly digestible starch (control diet; n = 15).Despite no differences in food intake, body weight, glucose tolerance, fasting plasma insulin, or liver triglycerides, the HAMRS2 mice showed a 15-58% reduction in all measured liver amino acids, except for Gln, compared with control mice. These metabolites were equivalent in the plasma of HAMRS2 mice compared with controls, and transcripts encoding key amino acid transporters were not different in the small intestine or liver, suggesting that HAMRS2 effects were not simply due to lower hepatocyte exposure to systemic amino acids. Instead, alterations in gut microbial metabolism could have affected host nitrogen and amino acid homeostasis: HAMRS2 mice showed a 62% increase (P < 0.0001) in 48-h fecal output and a 41% increase (P < 0.0001) in fecal nitrogen compared with control mice. Beyond amino acid metabolism, liver transcriptomics revealed pathways related to lipid and xenobiotic metabolism; and pathways related to cell proliferation, differentiation, and growth were affected by HAMRS2 feeding.Together, these differences indicate that HAMRS2 dramatically alters hepatic metabolism and gene expression concurrent with shifts in specific gut bacteria in C57BL/6J mice.© 2016 American Society for Nutrition.",2016 Dec,"Kieffer DA, Piccolo BD, Marco ML, Kim EB, Goodson ML, Keenan MJ, Dunn TN, Knudsen KE, Martin RJ, Adams SH",mice fed a high fat diet supplemented with resistant starch display marked shifts in the liver metabolome concurrent with altered gut bacteria,2476-2490,eng,0404243,The Journal of nutrition,NA,citation,NA,NA,NA,2016/12/01 00:00,Kieffer DA,3,10
24520424,"Macronutrient quality and composition are important determinants of energy balance and the gut microbiota. Here, we investigated how changes to protein quality (casein versus whey protein isolate; WPI) and the protein to carbohydrate (P/C) ratio within a high fat diet (HFD) impacts on these parameters. Mice were fed a low fat diet (10% kJ) or a high fat diet (HFD; 45% kJ) for 21 weeks with either casein (20% kJ, HFD) or WPI at 20%, 30% or 40% kJ. In comparison to casein, WPI at a similar energy content normalised energy intake, increased lean mass and caused a trend towards a reduction in fat mass (P = 0.08), but the protein challenge did not alter oxygen consumption or locomotor activity. WPI reduced HFD-induced plasma leptin and liver triacylglycerol, and partially attenuated the reduction in adipose FASN mRNA in HFD-fed mice. High throughput sequence-based analysis of faecal microbial populations revealed microbiota in the HFD-20% WPI group clustering closely with HFD controls, although WPI specifically increased Lactobacillaceae/Lactobacillus and decreased Clostridiaceae/Clostridium in HFD-fed mice. There was no effect of increasing the P/C ratio on energy intake, but the highest ratio reduced HFD-induced weight gain, fat mass and plasma triacylglycerol, non-esterified fatty acids, glucose and leptin levels, while it increased lean mass and oxygen consumption. Similar effects were observed on adipose mRNA expression, where the highest ratio reduced HFD-associated expression of UCP-2, TNFα and CD68 and increased the diet-associated expression of β3-AR, LPL, IR, IRS-1 and GLUT4. The P/C ratio also impacted on gut microbiota, with populations in the 30/40% WPI groups clustering together and away from the 20% WPI group. Taken together, our data show that increasing the P/C ratio has a dramatic effect on energy balance and the composition of gut microbiota, which is distinct from that caused by changes to protein quality.",2014,"McAllan L, Skuse P, Cotter PD, O'Connor P, Cryan JF, Ross RP, Fitzgerald G, Roche HM, Nilaweera KN",protein quality and the protein to carbohydrate ratio within a high fat diet influences energy balance and the gut microbiota in c57bl 6j mice,e88904,eng,101285081,PloS one,doi: 10.1371/journal.pone.0088904,citation,NA,NA,NA,2014/02/10 00:00,McAllan L,3,7
28382342,"Obesity is a serious public health problem and being multifactorial is difficult to tackle. Since the intestinal ecosystem's homeostasis is, at least partially, diet-dependent, its modulation may be triggered by food components that are designed to exert a modulatory action leading to a health-promoting effect. Milk whey proteins, are considered as such promising factors since they influence satiation as well as body weight and constitute the source of biologically active peptides which may modulate health status locally and systemically. This way, whey proteins are associated with obesity. Therefore, this paper is aimed at the estimation of the impact of whey proteins using a commercially available whey protein isolate on the physiological response of mice with diet-induced obesity. The physiological response was evaluated on the local-intestinal level, scrutinizing intestinal microbiota as one of the important factors in obesity and on the systemic level, analyzing the response of the organism. Whey proteins brought about the decrease of the fat mass with a simultaneous increase of the lean mass of animals with diet induced obesity, which is a promising, health-promoting effect. Whey proteins also proved to act beneficially helping restore the number of beneficial bifidobacteria in obese animals and decreasing the calorie intake and fat mass as well as the LDL level. Overall, supplementation of the high fat diet with whey proteins acted locally by restoration of the intestinal ecosystem, thus preventing dysbiosis and its effects and also acted systemically by strengthening the organism increasing the lean mass and thus hindering obesity-related detrimental effects.",2017 Apr 19,"Swiątecka D, Złotkowska D, Markiewicz LH, Szyc AM, Wróblewska B",impact of whey proteins on the systemic and local intestinal level of mice with diet induced obesity,1708-1717,eng,101549033,Food &amp; function,doi: 10.1039/c6fo01311b,citation,NA,NA,NA,2017/04/19 00:00,Swiątecka D,3,5
27315483,"Maternal obesity during pregnancy has been associated with increased risk of neurodevelopmental disorders, including autism spectrum disorder (ASD), in offspring. Here, we report that maternal high-fat diet (MHFD) induces a shift in microbial ecology that negatively impacts offspring social behavior. Social deficits and gut microbiota dysbiosis in MHFD offspring are prevented by co-housing with offspring of mothers on a regular diet (MRD) and transferable to germ-free mice. In addition, social interaction induces synaptic potentiation (LTP) in the ventral tegmental area (VTA) of MRD, but not MHFD offspring. Moreover, MHFD offspring had fewer oxytocin immunoreactive neurons in the hypothalamus. Using metagenomics and precision microbiota reconstitution, we identified a single commensal strain that corrects oxytocin levels, LTP, and social deficits in MHFD offspring. Our findings causally link maternal diet, gut microbial imbalance, VTA plasticity, and behavior and suggest that probiotic treatment may relieve specific behavioral abnormalities associated with neurodevelopmental disorders. VIDEO ABSTRACT.Copyright © 2016 Elsevier Inc. All rights reserved.",2016 Jun 16,"Buffington SA, Di Prisco GV, Auchtung TA, Ajami NJ, Petrosino JF, Costa-Mattioli M",microbial reconstitution reverses maternal diet induced social and synaptic deficits in offspring,1762-75,eng,0413066,Cell,doi: 10.1016/j.cell.2016.06.001,citation,NA,NA,NA,2016/06/16 00:00,Buffington SA,3,12
28742010,"Bacterial communities in the mouse caecum and faeces are known to be altered by changes in dietary fat. The microbiota of the mouse small intestine, by contrast, has not been extensively profiled and it is unclear whether small intestinal bacterial communities shift with dietary fat levels. We compared the microbiota in the small intestine, caecum and colon in mice fed a low-fat (LF) or high-fat (HF) diet using 16S rRNA gene sequencing. The relative abundance of major phyla in the small intestine, Bacteriodetes, Firmicutes and Proteobacteria, was similar to that in the caecum and colon; the relative abundance of Verrucomicrobia was significantly reduced in the small intestine compared to the large intestine. Several genera were uniquely detected in the small intestine and included the aerotolerant anaerobe, Lactobacillus spp. The most abundant genera in the small intestine were accounted for by anaerobic bacteria and were identical to those identified in the large intestine. An HF diet was associated with significant weight gain and adiposity and with changes in the bacterial communities throughout the intestine, with changes in the small intestine differing from those in the caecum and colon. Prominent Gram-negative bacteria including genera of the phylum Bacteroidetes and a genus of Proteobacteria significantly changed in the large intestine. The mechanistic links between these changes and the development of obesity, perhaps involving metabolic endotoxemia, remain to be determined.",2017 Jul 26,"Onishi JC, Campbell S, Moreau M, Patel F, Brooks AI, Zhou YX, Häggblom MM, Storch J",bacterial communities in the small intestine respond differently to those in the caecum and colon in mice fed low and high fat diets,NA,eng,9430468,"Microbiology (Reading, England)",doi: 10.1099/mic.0.000496,citation,NA,NA,NA,2017/07/26 00:00,Onishi JC,3,11
20962874,"This study is the first to use a metagenomics approach to characterize the phylogeny and functional capacity of the canine gastrointestinal microbiome. Six healthy adult dogs were used in a crossover design and fed a low-fiber control diet (K9C) or one containing 7.5% beet pulp (K9BP). Pooled fecal DNA samples from each treatment were subjected to 454 pyrosequencing, generating 503,280 (K9C) and 505,061 (K9BP) sequences. Dominant bacterial phyla included the Bacteroidetes/Chlorobi group and Firmicutes, both of which comprised ∼35% of all sequences, followed by Proteobacteria (13-15%) and Fusobacteria (7-8%). K9C had a greater percentage of Bacteroidetes, Fusobacteria and Proteobacteria, whereas K9BP had greater proportions of the Bacteroidetes/Chlorobi group and Firmicutes. Archaea were not altered by diet and represented ∼1% of all sequences. All archaea were members of Crenarchaeota and Euryarchaeota, with methanogens being the most abundant and diverse. Three fungi phylotypes were present in K9C, but none in K9BP. Less than 0.4% of sequences were of viral origin, with >99% of them associated with bacteriophages. Primary functional categories were not significantly affected by diet and were associated with carbohydrates; protein metabolism; DNA metabolism; cofactors, vitamins, prosthetic groups and pigments; amino acids and derivatives; cell wall and capsule; and virulence. Hierarchical clustering of several gastrointestinal metagenomes demonstrated phylogenetic and metabolic similarity between dogs, humans and mice. More research is required to provide deeper coverage of the canine microbiome, evaluate effects of age, genetics or environment on its composition and activity, and identify its role in gastrointestinal disease.",2011 Apr,"Swanson KS, Dowd SE, Suchodolski JS, Middelbos IS, Vester BM, Barry KA, Nelson KE, Torralba M, Henrissat B, Coutinho PM, Cann IK, White BA, Fahey GC Jr",phylogenetic and gene centric metagenomics of the canine intestinal microbiome reveals similarities with humans and mice,639-49,eng,101301086,The ISME journal,doi: 10.1038/ismej.2010.162,citation,NA,NA,NA,2011/04/01 00:00,Swanson KS,3,1
28356436,"Background: The consumption of a Western-style diet (WSD) and high fructose intake are risk factors for metabolic diseases. The underlying mechanisms are largely unclear.Objective: To unravel the mechanisms by which a WSD and fructose promote metabolic disease, we investigated their effects on the gut microbiome and barrier function.Methods: Adult female C57BL/6J mice were fed a sugar- and fat-rich WSD or control diet (CD) for 12 wk and given access to tap water or fructose-supplemented water. The microbiota was analyzed with the use of 16S rRNA gene sequencing. Barrier function was studied with the use of permeability tests, and endotoxin, mucus thickness, and gene expressions were measured.Results: The WSD increased body weight gain but not endotoxin translocation compared with the CD. In contrast, high fructose intake increased endotoxin translocation 2.6- and 3.8-fold in the groups fed the CD + fructose and WSD + fructose, respectively, compared with the CD group. The WSD + fructose treatment also induced a loss of mucus thickness in the colon (-46%) and reduced defensin expression in the ileum and colon. The lactulose:mannitol ratio in the WSD + fructose mice was 1.8-fold higher than in the CD mice. Microbiota analysis revealed that fructose, but not the WSD, increased the Firmicutes:Bacteroidetes ratio by 88% for CD + fructose and 63% for WSD + fructose compared with the CD group. Bifidobacterium abundance was greater in the WSD mice than in the CD mice (63-fold) and in the WSD + fructose mice than in the CD + fructose mice (330-fold).Conclusions: The consumption of a WSD or high fructose intake differentially affects gut permeability and the microbiome. Whether these differences are related to the distinct clinical outcomes, whereby the WSD primarily promotes weight gain and high fructose intake causes barrier dysfunction, needs to be investigated in future studies.© 2017 American Society for Nutrition.",2017 May,"Volynets V, Louis S, Pretz D, Lang L, Ostaff MJ, Wehkamp J, Bischoff SC",intestinal barrier function and the gut microbiome are differentially affected in mice fed a western style diet or drinking water supplemented with fructose,770-780,eng,0404243,The Journal of nutrition,doi: 10.3945/jn.116.242859,citation,NA,NA,NA,2017/05/01 00:00,Volynets V,3,4
26015368,"We have previously observed that knockout of Niemann-Pick C1-Like 1 (NPC1L1), a cholesterol transporter essential for intestinal cholesterol absorption, reduces the output of dry stool in mice. As the food intake remains unaltered in NPC1L1-knockout (L1-KO) mice, we hypothesized that NPC1L1 deficiency may alter the gut microbiome to reduce stool output. Consistently, here we demonstrate that the phyla of fecal microbiota differ substantially between L1-KO mice and their wild-type controls. Germ-free (GF) mice have reduced stool output. Inhibition of NPC1L1 by its inhibitor ezetimibe reduces stool output in specific pathogen-free (SPF), but not GF mice. In addition, we show that GF versus SPF mice have reduced intestinal absorption and increased fecal excretion of cholesterol, particularly after treatment with ezetimibe. This negative balance of cholesterol in GF mice is associated with reduced plasma and hepatic cholesterol, and likely caused by reduced expression of NPC1L1 and increased expression of ABCG5 and ABCG8 in small intestine. Expression levels of other genes in intestine and liver largely reflect a state of cholesterol depletion and a decrease in intestinal sensing of bile acids. Altogether, our findings reveal a broad role of microbiota in regulating whole-body cholesterol homeostasis and its response to a cholesterol-lowering drug, ezetimibe.",2015 May 27,"Zhong CY, Sun WW, Ma Y, Zhu H, Yang P, Wei H, Zeng BH, Zhang Q, Liu Y, Li WX, Chen Y, Yu L, Song ZY",microbiota prevents cholesterol loss from the body by regulating host gene expression in mice,10512,eng,101563288,Scientific reports,doi: 10.1038/srep10512,citation,NA,NA,NA,2015/05/27 00:00,Zhong CY,3,9
28637315,"Prenatal undernutrition and low birth weight are associated with risk of type 2 diabetes and obesity. Prenatal caloric restriction results in low birth weight, glucose intolerance, obesity, and reduced plasma bile acids (BA) in offspring mice. Since BAs can regulate systemic metabolism and glucose homeostasis, we hypothesized that BA supplementation could prevent diet-induced obesity and glucose intolerance in this model of developmental programming. Pregnant dams were food restricted by 50% from gestational days 12.5-18.5. Offspring of both undernourished (UN) and control (C) dams given unrestricted diets were weaned to high fat diets with- or without supplementation with 0.25% w/w ursodeoxycholic acid (UDCA), yielding 4 experimental groups: C, UN, C+UDCA, and UN+UDCA. Glucose homeostasis, bile acid composition, liver and intestinal gene expression, and microbiota composition were analyzed in the 4 groups. While UDCA supplementation ameliorated diet-induced obesity in controls (C), there was no effect in UN mice. UDCA similarly lowered fasting insulin, and improved glucose tolerance, pyruvate tolerance, and liver steatosis in C, but not UN animals. Bile acid composition differed significantly, and liver and ileal expression of genes involved in bile acid metabolism (Cyp7b1, Shp) were differentially induced by UDCA in C vs. UN animals. Bacterial taxa in fecal microbiota correlated with treatment groups and metabolic parameters. In conclusion, prenatal undernutrition alters responsiveness to the metabolic benefits of bile acid supplementation, with ""resistance"" to the weight-lowering and insulin sensitizing effects of UDCA supplementation. Our findings suggest that bile acid metabolism may be a previously unrecognized contributor to developmentally-programmed diabetes risk.Copyright © 2017 Endocrine Society.",2017 Jun 15,"Ma H, Sales VM, Wolf AR, Subramanian S, Matthews TJ, Chen M, Sharma A, Gall W, Kulik W, Cohen DE, Adachi Y, Griffin NW, Gordon JI, Patti ME, Isganaitis E",attenuated effects of bile acids on glucose metabolism and insulin sensitivity in a male mouse model of prenatal undernutrition,NA,eng,0375040,Endocrinology,doi: 10.1210/en.2017-00288,citation,NA,NA,NA,2017/06/15 00:00,Ma H,3,8
26923892,"Dysbiosis of the gut microbiota underlies non-alcoholic steatohepatitis (NASH). Ingredient of Chinese herbal medicine, berberine, has been proved to regulate the gut microbiota without systemic side effects. Therefore, we explored its effects on NASH induced by high-fat diet (HFD).BALB/c mice were randomized into three groups, including: control, model, and berberine treatment. With the exception of the control group with the standard diet, the model, and the treatment groups were treated by HFD. Mice from treatment group were further subjected to berberine (200 mg/kg/d) gavage since the 5th week. At the end of the 13th week, gut bacteria, liver endotoxin receptor, and inflammation cytokines were assessed by real-time PCR. NASH and its predisposing factors were evaluated biochemically and pathologically.Compared to their decreases in the model group, berberine administration restored the relative level of Bifidobacteria (2.16 ± 0.63 vs. 0.50 ± 0.08, P < 0.01) and the ratio of Bacteroidetes/ Firmicutes (0.76 ± 0.26 vs. 0.39 ± 0.11, P < 0.01), respectively, in the treatment groups. Microbiota restoration led to significant reductions in body weight, serum levels of lipids, glucose, insulin, and homeostasis model assessment of insulin resistance. Improvements were also observed in the serum transaminase activity and nonalcoholic fatty liver disease activity score, which demonstrated the attenuation of NASH. Mechanically, expression levels of CD14, IL-1, IL-6 and TNF-α were statistically down-regulated (treatment group vs model group, P < 0.01).Berberine alleviates NASH and its predisposing factors. Normalization of gut microbiota might underlie its effect.",2016 Mar,"Cao Y, Pan Q, Cai W, Shen F, Chen GY, Xu LM, Fan JG",modulation of gut microbiota by berberine improves steatohepatitis in high fat diet fed balb c mice,197-203,eng,100889644,Archives of Iranian medicine,doi: 0161903/AIM.008,citation,NA,NA,NA,2016/03/01 00:00,Cao Y,3,2
25156790,"Numerous studies have demonstrated the impact of functional fibers on gut microbiota and metabolic health, but some less well-studied fibers and/or fractions of foods known to be high in fiber still warrant examination. The aim of this study was to assess the effect of yellow pea-derived fractions varying in fiber and protein content on metabolic parameters and gut microbiota in diet-induced obese rats. We hypothesized that the yellow pea fiber (PF) fraction would improve glycemia and alter gut microbiota. Rats were randomized to 1 of 5 isoenergetic dietary treatments for 6 weeks: (1) control; (2) oligofructose (OFS); (3) yellow PF; (4) yellow pea flour (PFL); or (5) yellow pea starch (PS). Glycemia, plasma gut hormones, body composition, hepatic triglyceride content, gut microbiota, and messenger RNA expression of genes related to hepatic fat metabolism were examined. Pea flour attenuated weight gain compared with control, PF, and PS (P < .05). Pea flour, PS, and OFS had significantly lower final percent body fat compared with control. Oligofructose but not the pea fraction diets reduced food intake compared with control (P < .05). Pea fiber resulted in lower fasting glucose and glucose area under the curve compared with control. Changes in gut microbiota were fraction specific and included a decrease in Firmicutes (percent) for OFS, PF, and PFL compared with control (P < .05). The Firmicutes/Bacteroidetes ratio was reduced with OFS, PF, and PFL when compared with PS (P < .05). Taken together, this work suggests that yellow pea-derived fractions are able to distinctly modulate metabolic parameters and gut microbiota in obese rats.Copyright © 2014 Elsevier Inc. All rights reserved.",2014 Aug,"Eslinger AJ, Eller LK, Reimer RA",yellow pea fiber improves glycemia and reduces clostridium leptum in diet induced obese rats,714-22,eng,8303331,"Nutrition research (New York, N.Y.)",doi: 10.1016/j.nutres.2014.07.016,citation,NA,NA,NA,2014/08/01 00:00,Eslinger AJ,3,6
